北京联通,#genre#
CCTV-16,http://114.246.182.194:4022/udp/239.3.1.184:8001
CCTV-17,http://114.246.182.194:4022/udp/239.3.1.151:8144
CCTV 4K[4K],http://114.246.182.194:4022/udp/239.3.1.245:2000
中国教育1台,http://114.246.182.194:4022/udp/239.3.1.57:8152
CGTN 新闻,http://114.246.182.194:4022/udp/239.3.1.215:4220
CGTN 记录,http://114.246.182.194:4022/udp/239.3.1.216:4220

北京卫视,http://114.246.182.194:4022/udp/239.3.1.241:8000
湖南卫视,http://114.246.182.194:4022/udp/239.3.1.132:8012
浙江卫视,http://114.246.182.194:4022/udp/239.3.1.137:8036
江苏卫视,http://114.246.182.194:4022/udp/239.3.1.135:8028
东方卫视,http://114.246.182.194:4022/udp/239.3.1.136:8032
山东卫视,http://114.246.182.194:4022/udp/239.3.1.209:8052
安徽卫视,http://114.246.182.194:4022/udp/239.3.1.211:8064
湖北卫视,http://114.246.182.194:4022/udp/239.3.1.138:8044
东南卫视,http://114.246.182.194:4022/udp/239.3.1.156:8148
广东卫视,http://114.246.182.194:4022/udp/239.3.1.142:8048
辽宁卫视,http://114.246.182.194:4022/udp/239.3.1.210:8056
黑龙江卫视,http://114.246.182.194:4022/udp/239.3.1.133:8016
深圳卫视,http://114.246.182.194:4022/udp/239.3.1.134:8020
贵州卫视,http://114.246.182.194:4022/udp/239.3.1.149:8076
天津卫视,http://114.246.182.194:4022/udp/239.3.1.141:1234
河北卫视,http://114.246.182.194:4022/udp/239.3.1.148:8072
重庆卫视,http://114.246.182.194:4022/udp/239.3.1.122:8160
江西卫视,http://114.246.182.194:4022/udp/239.3.1.123:8164
吉林卫视,http://114.246.182.194:4022/udp/239.3.1.240:8172

爱上4K[4K],http://114.246.182.194:4022/udp/239.3.1.236:2000
金鹰纪实,http://114.246.182.194:4022/udp/239.3.1.58:8156
纪实人文,http://114.246.182.194:4022/udp/239.3.1.212:8060



