广东电信,#genre#
深圳电视剧频道,http://116.26.7.39:8088/udp/239.77.1.7:5146
深圳电视剧频道,http://116.26.7.39:8088/udp/239.77.1.177:5146
深圳电视剧频道,http://116.26.7.39:8088/udp/239.77.1.125:5146
深圳财经生活,http://116.26.7.39:8088/udp/239.77.1.22:5146
深圳财经生活,http://116.26.7.39:8088/udp/239.77.1.242:5146
深圳体育健康,http://116.26.7.39:8088/udp/239.77.1.8:5146
深圳体育健康,http://116.26.7.39:8088/udp/239.77.1.128:5146
深圳体育健康,http://116.26.7.39:8088/udp/239.77.1.140:5146
深圳少儿频道,http://116.26.7.39:8088/udp/239.77.1.244:5146
深圳公共频道,http://116.26.7.39:8088/udp/239.77.1.9:5146

CCTV-1,http://116.26.7.39:8088/udp/239.77.1.20:5146
CCTV-1,http://116.26.7.39:8088/udp/239.77.1.17:5146
CCTV-1,http://116.26.7.39:8088/udp/239.77.1.144:5146
CCTV-1,http://116.26.7.39:8088/udp/239.77.0.119:5146
CCTV-1,http://116.26.7.39:8088/udp/239.77.0.86:5146
CCTV-1,http://116.26.7.39:8088/udp/239.77.0.129:5146
CCTV-2,http://116.26.7.39:8088/udp/239.77.1.158:5146
CCTV-2,http://116.26.7.39:8088/udp/239.253.43.17:5146
CCTV-2,http://116.26.7.39:8088/udp/239.77.0.137:5146
CCTV-3,http://116.26.7.39:8088/udp/239.77.0.169:5146
CCTV-3,http://116.26.7.39:8088/udp/239.77.0.175:5146
CCTV-4,http://116.26.7.39:8088/udp/239.77.1.163:5146
CCTV-4,http://116.26.7.39:8088/udp/239.77.1.166:5146
CCTV-4,http://116.26.7.39:8088/udp/239.77.0.78:5146
CCTV-5,http://116.26.7.39:8088/udp/239.77.0.170:5146
CCTV-5,http://116.26.7.39:8088/udp/239.77.0.177:5146
CCTV-5+,http://116.26.7.39:8088/udp/239.77.0.87:5146
CCTV-5+,http://116.26.7.39:8088/udp/239.77.1.31:5146
CCTV-6,http://116.26.7.39:8088/udp/239.77.0.171:5146
CCTV-6,http://116.26.7.39:8088/udp/239.77.0.178:5146
CCTV-7,http://116.26.7.39:8088/udp/239.77.1.159:5146
CCTV-7,http://116.26.7.39:8088/udp/239.77.1.167:5146
CCTV-7,http://116.26.7.39:8088/udp/239.77.0.138:5146
CCTV-8,http://116.26.7.39:8088/udp/239.77.0.172:5146
CCTV-8,http://116.26.7.39:8088/udp/239.77.0.181:5146
CCTV-9,http://116.26.7.39:8088/udp/239.77.1.160:5146
CCTV-9,http://116.26.7.39:8088/udp/239.77.1.168:5146
CCTV-9,http://116.26.7.39:8088/udp/239.77.0.135:5146
CCTV-10,http://116.26.7.39:8088/udp/239.77.1.113:5146
CCTV-10,http://116.26.7.39:8088/udp/239.77.1.169:5146
CCTV-10,http://116.26.7.39:8088/udp/239.77.0.134:5146
CCTV-11,http://116.26.7.39:8088/udp/239.77.1.238:5146
CCTV-12,http://116.26.7.39:8088/udp/239.77.1.10:5146
CCTV-12,http://116.26.7.39:8088/udp/239.77.1.109:5146
CCTV-12,http://116.26.7.39:8088/udp/239.77.1.170:5146
CCTV-12,http://116.26.7.39:8088/udp/239.77.0.136:5146
CCTV-13,http://116.26.7.39:8088/udp/239.77.0.188:5146
CCTV-13,http://116.26.7.39:8088/udp/239.253.43.196:5146
CCTV-14,http://116.26.7.39:8088/udp/239.77.1.161:5146
CCTV-14,http://116.26.7.39:8088/udp/239.77.1.171:5146
CCTV-14,http://116.26.7.39:8088/udp/239.77.0.133:5146
CCTV-15,http://116.26.7.39:8088/udp/239.77.1.239:5146
CCTV-16,http://116.26.7.39:8088/udp/239.77.0.165:5146
CCTV-16,http://116.26.7.39:8088/udp/239.77.1.76:5146
CCTV-17,http://116.26.7.39:8088/udp/239.77.1.121:5146
CCTV-17,http://116.26.7.39:8088/udp/239.77.0.198:5146

湖南卫视,http://116.26.7.39:8088/udp/239.77.1.5:5146
湖南卫视,http://116.26.7.39:8088/udp/239.77.1.129:5146
湖南卫视,http://116.26.7.39:8088/udp/239.77.0.88:5146
湖南卫视,http://116.26.7.39:8088/udp/239.77.0.127:5146
浙江卫视,http://116.26.7.39:8088/udp/239.77.1.33:5146
浙江卫视,http://116.26.7.39:8088/udp/239.77.1.150:5146
浙江卫视,http://116.26.7.39:8088/udp/239.77.0.89:5146
浙江卫视,http://116.26.7.39:8088/udp/239.77.0.125:5146
江苏卫视,http://116.26.7.39:8088/udp/239.77.1.18:5146
江苏卫视,http://116.26.7.39:8088/udp/239.77.1.149:5146
江苏卫视,http://116.26.7.39:8088/udp/239.77.0.90:5146
江苏卫视,http://116.26.7.39:8088/udp/239.77.0.126:5146
东方卫视,http://116.26.7.39:8088/udp/239.77.1.218:5146
东方卫视,http://116.26.7.39:8088/udp/239.77.1.156:5146
东方卫视,http://116.26.7.39:8088/udp/239.77.0.98:5146
安徽卫视,http://116.26.7.39:8088/udp/239.77.1.92:5146
安徽卫视,http://116.26.7.39:8088/udp/239.77.1.157:5146
安徽卫视,http://116.26.7.39:8088/udp/239.77.0.183:5146
北京卫视,http://116.26.7.39:8088/udp/239.77.1.4:5146
北京卫视,http://116.26.7.39:8088/udp/239.77.1.151:5146
北京卫视,http://116.26.7.39:8088/udp/239.77.0.91:5146
天津卫视,http://116.26.7.39:8088/udp/239.77.1.141:5146
天津卫视,http://116.26.7.39:8088/udp/239.77.1.182:5146
天津卫视,http://116.26.7.39:8088/udp/239.77.0.97:5146
天津卫视,http://116.26.7.39:8088/udp/239.77.0.131:5146
山东卫视,http://116.26.7.39:8088/udp/239.77.1.142:5146
山东卫视,http://116.26.7.39:8088/udp/239.77.1.153:5146
山东卫视,http://116.26.7.39:8088/udp/239.77.0.94:5146
山东卫视,http://116.26.7.39:8088/udp/239.77.0.132:5146
江西卫视,http://116.26.7.39:8088/udp/239.77.1.219:5146
江西卫视,http://116.26.7.39:8088/udp/239.77.0.149:5146
湖北卫视,http://116.26.7.39:8088/udp/239.77.1.93:5146
湖北卫视,http://116.26.7.39:8088/udp/239.77.1.174:5146
湖北卫视,http://116.26.7.39:8088/udp/239.77.0.95:5146
湖北卫视,http://116.26.7.39:8088/udp/239.77.0.128:5146
辽宁卫视,http://116.26.7.39:8088/udp/239.77.1.103:5146
辽宁卫视 ,http://116.26.7.39:8088/udp/239.77.0.123:5146
辽宁卫视,http://116.26.7.39:8088/udp/239.77.0.161:5146
黑龙江卫视,http://116.26.7.39:8088/udp/239.77.1.6:5146
黑龙江卫视,http://116.26.7.39:8088/udp/239.77.1.179:5146
黑龙江卫视,http://116.26.7.39:8088/udp/239.77.0.93:5146
黑龙江卫视,http://116.26.7.39:8088/udp/239.77.0.124:5146
贵州卫视,http://116.26.7.39:8088/udp/239.77.1.221:5146
贵州卫视,http://116.26.7.39:8088/udp/239.77.0.230:5146
四川卫视,http://116.26.7.39:8088/udp/239.77.1.215:5146
四川卫视,http://116.26.7.39:8088/udp/239.77.0.159:5146
四川卫视,http://116.26.7.39:8088/udp/239.77.0.163:5146
河南卫视,http://116.26.7.39:8088/udp/239.77.1.229:5146
河南卫视,http://116.26.7.39:8088/udp/239.77.0.17:5146
云南卫视,http://116.26.7.39:8088/udp/239.253.43.37:5146
云南卫视,http://116.26.7.39:8088/udp/239.253.43.100:5146
重庆卫视,http://116.26.7.39:8088/udp/239.77.1.162:5146
重庆卫视,http://116.26.7.39:8088/udp/239.77.0.182:5146
河北卫视,http://116.26.7.39:8088/udp/239.77.1.214:5146
河北卫视,http://116.26.7.39:8088/udp/239.77.0.148:5146
东南卫视,http://116.26.7.39:8088/udp/239.77.1.104:5146
东南卫视,http://116.26.7.39:8088/udp/239.77.0.146:5146
广西卫视,http://116.26.7.39:8088/udp/239.253.43.36:5146
广西卫视,http://116.26.7.39:8088/udp/239.77.0.139:5146
吉林卫视,http://116.26.7.39:8088/udp/239.77.1.111:5146
吉林卫视,http://116.26.7.39:8088/udp/239.77.0.150:5146
青海卫视,http://116.26.7.39:8088/udp/239.253.43.125:5146
海南卫视,http://116.26.7.39:8088/udp/239.253.43.35:5146
海南卫视,http://116.26.7.39:8088/udp/239.253.43.101:5146
甘肃卫视,http://116.26.7.39:8088/udp/239.77.0.189:5146
三沙卫视,http://116.26.7.39:8088/udp/239.253.43.113:5146
兵器科技,http://116.26.7.39:8088/udp/239.253.43.18:5146
兵器科技,http://116.26.7.39:8088/udp/239.253.43.9:5146
电视指南,http://116.26.7.39:8088/udp/239.253.43.19:5146
电视指南,http://116.26.7.39:8088/udp/239.253.43.10:5146
风云足球,http://116.26.7.39:8088/udp/239.253.43.20:5146
风云足球,http://116.26.7.39:8088/udp/239.253.43.14:5146
央视台球,http://116.26.7.39:8088/udp/239.253.43.21:5146
央视台球,http://116.26.7.39:8088/udp/239.253.43.11:5146
高尔夫网球,http://116.26.7.39:8088/udp/239.253.43.22:5146
高尔夫网球,http://116.26.7.39:8088/udp/239.253.43.12:5146
女性时尚,http://116.26.7.39:8088/udp/239.253.43.23:5146
女性时尚,http://116.26.7.39:8088/udp/239.253.43.8:5146
世界地理,http://116.26.7.39:8088/udp/239.253.43.24:5146
世界地理,http://116.26.7.39:8088/udp/239.253.43.7:5146
怀旧剧场,http://116.26.7.39:8088/udp/239.253.43.25:5146
怀旧剧场,http://116.26.7.39:8088/udp/239.253.43.5:5146
风云剧场,http://116.26.7.39:8088/udp/239.253.43.26:5146
风云剧场,http://116.26.7.39:8088/udp/239.253.43.16:5146
央视文化精品,http://116.26.7.39:8088/udp/239.253.43.27:5146
央视文化精品,http://116.26.7.39:8088/udp/239.253.43.13:5146
第一剧场,http://116.26.7.39:8088/udp/239.253.43.28:5146
第一剧场,http://116.26.7.39:8088/udp/239.253.43.15:5146
风云音乐,http://116.26.7.39:8088/udp/239.253.43.29:5146
风云音乐,http://116.26.7.39:8088/udp/239.253.43.6:5146
CHC电影,http://116.26.7.39:8088/udp/239.77.0.27:5146
金鹰卡通,http://116.26.7.39:8088/udp/239.77.0.164:5146
CETV-1,http://116.26.7.39:8088/udp/239.77.1.222:5146
中国教育-1,http://116.26.7.39:8088/udp/239.77.0.200:5146
CETV-4,http://116.26.7.39:8088/udp/239.77.1.200:5146
CETV-4,http://116.26.7.39:8088/udp/239.253.43.40:5146
CETV-4,http://116.26.7.39:8088/udp/239.253.43.114:5146
早期教育,http://116.26.7.39:8088/udp/239.77.0.180:5146
中国交通,http://116.26.7.39:8088/udp/239.77.1.249:5146
茶,http://116.26.7.39:8088/udp/239.77.0.15:5146
快乐垂钓,http://116.26.7.39:8088/udp/239.77.0.145:5146
金鹰纪实,http://116.26.7.39:8088/udp/239.77.1.217:5146
金鹰纪实,http://116.26.7.39:8088/udp/239.77.0.160:5146
金鹰纪实,http://116.26.7.39:8088/udp/239.77.0.162:5146
上海纪实,http://116.26.7.39:8088/udp/239.77.1.216:5146
上海纪实,http://116.26.7.39:8088/udp/239.77.0.147:5146
生态环境,http://116.26.7.39:8088/udp/239.77.1.201:5146
车迷频道,http://116.26.7.39:8088/udp/239.77.1.203:5146
求索纪录,http://116.26.7.39:8088/udp/239.77.0.21:5146
求索生活,http://116.26.7.39:8088/udp/239.77.0.153:5146
武术世界,http://116.26.7.39:8088/udp/239.77.1.108:5146
文物宝库,http://116.26.7.39:8088/udp/239.77.1.120:5146
天元围棋,http://116.26.7.39:8088/udp/239.253.43.98:5146
爱体育,http://116.26.7.39:8088/udp/239.77.0.176:5146
爱体育,http://116.26.7.39:8088/udp/239.77.1.116:5146

广东卫视,http://61.140.148.177:7777/udp/239.77.1.19:5146
广东卫视,http://61.140.148.177:7777/udp/239.77.1.152:5146
广东卫视,http://61.140.148.177:7777/udp/239.77.0.84:5146
广东卫视,http://61.140.148.177:7777/udp/239.77.0.166:5146
广东珠江,http://61.140.148.177:7777/udp/239.77.0.1:5146
广东珠江,http://61.140.148.177:7777/udp/239.77.0.114:5146
广东新闻,http://61.140.148.177:7777/udp/239.77.0.173:5146
广东民生,http://61.140.148.177:7777/udp/239.77.0.225:5146
广东体育,http://61.140.148.177:7777/udp/239.77.0.112:5146
广东体育,http://61.140.148.177:7777/udp/239.77.0.168:5146
经济科教,http://61.140.148.177:7777/udp/239.77.0.85:5146
经济科教,http://61.140.148.177:7777/udp/239.77.0.167:5146
大湾区卫视,http://61.140.148.177:7777/udp/239.77.0.215:5146
广东影视,http://61.140.148.177:7777/udp/239.77.0.217:5146
广东少儿,http://61.140.148.177:7777/udp/239.77.0.250:5146
嘉佳卡通,http://61.140.148.177:7777/udp/239.77.0.179:5146
