河南电信,#genre#
北京卫视,http://171.15.152.169:9000/udp/239.16.20.76:10760
吉林卫视,http://171.15.152.169:9000/udp/239.16.10.28:2000
吉林卫视,http://171.15.152.169:9000/udp/239.16.20.94:10940
四川卫视,http://171.15.152.169:9000/udp/239.16.10.20:2000
四川卫视,http://171.15.152.169:9000/udp/239.16.20.86:10860
天津卫视,http://171.15.152.169:9000/udp/239.16.10.30:2000
天津卫视,http://171.15.152.169:9000/udp/239.16.20.96:10960
安徽卫视,http://171.15.152.169:9000/udp/239.16.10.9:2000
安徽卫视,http://171.15.152.169:9000/udp/239.16.20.75:10750
山东卫视,http://171.15.152.169:9000/udp/239.16.10.14:2000
山东卫视,http://171.15.152.169:9000/udp/239.16.20.80:10800
广东卫视,http://171.15.152.169:9000/udp/239.16.10.104:2000
广东卫视,http://171.15.152.169:9000/udp/239.16.20.98:10980
广西卫视,http://171.15.152.169:9000/udp/239.16.10.18:2000
广西卫视,http://171.15.152.169:9000/udp/239.16.20.84:10840
江苏卫视,http://171.15.152.169:9000/udp/239.16.10.8:2000
江苏卫视,http://171.15.152.169:9000/udp/239.16.20.74:10740
江西卫视,http://171.15.152.169:9000/udp/239.16.10.23:2000
江西卫视,http://171.15.152.169:9000/udp/239.16.20.89:10890
河北卫视,http://171.15.152.169:9000/udp/239.16.10.22:2000
河北卫视,http://171.15.152.169:9000/udp/239.16.20.88:10880
河南卫视,http://171.15.152.169:9000/udp/239.16.10.119:2000
河南卫视,http://171.15.152.169:9000/udp/239.16.20.21:10210
河南卫视4K,http://171.15.152.169:9000/udp/239.16.20.199:11990
浙江卫视,http://171.15.152.169:9000/udp/239.16.10.5:2000
浙江卫视,http://171.15.152.169:9000/udp/239.16.20.71:10710
海南卫视,http://171.15.152.169:9000/udp/239.16.10.43:2000
海南卫视,http://171.15.152.169:9000/udp/239.16.20.97:10970
深圳卫视,http://171.15.152.169:9000/udp/239.16.10.11:2000
深圳卫视,http://171.15.152.169:9000/udp/239.16.20.77:10770
湖北卫视,http://171.15.152.169:9000/udp/239.16.10.21:2000
湖北卫视,http://171.15.152.169:9000/udp/239.16.20.87:10870
湖南卫视,http://171.15.152.169:9000/udp/239.16.10.6:2000
湖南卫视,http://171.15.152.169:9000/udp/239.16.20.72:10720
甘肃卫视,http://171.15.152.169:9000/udp/239.16.10.114:2000
甘肃卫视,http://171.15.152.169:9000/udp/239.16.20.102:11020
贵州卫视,http://171.15.152.169:9000/udp/239.16.10.15:2000
贵州卫视,http://171.15.152.169:9000/udp/239.16.20.81:10810
辽宁卫视,http://171.15.152.169:9000/udp/239.16.10.29:2000
辽宁卫视,http://171.15.152.169:9000/udp/239.16.20.95:10950
重庆卫视,http://171.15.152.169:9000/udp/239.16.10.13:2000
重庆卫视,http://171.15.152.169:9000/udp/239.16.20.79:10790
陕西卫视,http://171.15.152.169:9000/udp/239.16.10.17:2000
陕西卫视,http://171.15.152.169:9000/udp/239.16.20.83:10830
黑龙江卫视,http://171.15.152.169:9000/udp/239.16.10.105:2000
黑龙江卫视,http://171.15.152.169:9000/udp/239.16.20.99:10990


SiTV都市剧场,http://171.15.152.169:9000/udp/239.16.10.232:2000
SiTV欢笑剧场 720,http://171.15.152.169:9000/udp/239.16.20.39:10390
SiTV动漫秀场,http://171.15.152.169:9000/udp/239.16.20.40:10400
SiTV东方财经,http://171.15.152.169:9000/udp/239.16.20.64:10640
SiTV乐游,http://171.15.152.169:9000/udp/239.16.20.111:11110
SiTV游戏风云,http://171.15.152.169:9000/udp/239.16.20.112:11120
SiTV极速汽车,http://171.15.152.169:9000/udp/239.16.20.113:11130
SiTV生活时尚,http://171.15.152.169:9000/udp/239.16.20.114:11140
SiTV金色学堂,http://171.15.152.169:9000/udp/239.16.20.115:11150
SiTV法治天地,http://171.15.152.169:9000/udp/239.16.20.156:11560
SiTV都市剧场,http://171.15.152.169:9000/udp/239.16.10.232:2000
SiTV动漫秀场,http://171.15.152.169:9000/udp/239.16.10.234:2000
SiTV东方财经,http://171.15.152.169:9000/udp/239.16.10.235:2000

金鹰卡通,http://171.15.152.169:9000/udp/239.16.10.115:2000
金鹰卡通,http://171.15.152.169:9000/udp/239.16.20.104:11040
湖南金鹰纪实,http://171.15.152.169:9000/udp/239.16.20.153:11530

