广东电信,#genre#
CCTV-12,http://59.38.62.183:2052/udp/239.77.0.136:5146
CCTV-13,http://59.38.62.183:2052/udp/239.77.0.188:5146
CCTV-13,http://59.38.62.183:2052/udp/239.253.43.196:5146
CCTV-14,http://59.38.62.183:2052/udp/239.77.1.161:5146
CCTV-14,http://59.38.62.183:2052/udp/239.77.1.171:5146
CCTV-14,http://59.38.62.183:2052/udp/239.77.0.133:5146
CCTV-15,http://59.38.62.183:2052/udp/239.77.1.239:5146
CCTV-16,http://59.38.62.183:2052/udp/239.77.0.165:5146
CCTV-16,http://59.38.62.183:2052/udp/239.77.1.76:5146
CCTV-16,http://59.38.62.183:2052/udp/239.77.1.98:5146
CCTV-17,http://59.38.62.183:2052/udp/239.77.1.121:5146
CCTV-4K,http://59.38.62.183:2052/udp/239.77.0.194:5146
CCTV-4K,http://59.38.62.183:2052/udp/239.77.0.174:5146
CGTN,http://59.38.62.183:2052/udp/239.77.0.45:5146
CGTN,http://59.38.62.183:2052/udp/239.77.1.27:5146
CGTN英语,http://59.38.62.183:2052/udp/239.77.0.199:5146
CGTN西班牙语,http://59.38.62.183:2052/udp/239.77.0.221:5146
CGTN法语,http://59.38.62.183:2052/udp/239.77.0.228:5146
CGTN阿拉伯语,http://59.38.62.183:2052/udp/239.253.43.200:5146
CGTN俄语,http://59.38.62.183:2052/udp/239.253.43.201:5146
广东卫视,http://59.38.62.183:2052/udp/239.77.0.2:5146
广东卫视,http://59.38.62.183:2052/udp/239.77.1.2:5146
广东珠江,http://59.38.62.183:2052/udp/239.77.0.3:5146
广东珠江,http://59.38.62.183:2052/udp/239.77.1.94:5146
广东新闻,http://59.38.62.183:2052/udp/239.77.0.4:5146
广东民生,http://59.38.62.183:2052/udp/239.77.0.5:5146
广东体育,http://59.38.62.183:2052/udp/239.77.0.6:5146
广东体育,http://59.38.62.183:2052/udp/239.77.1.97:5146
广东国际,http://59.38.62.183:2052/udp/239.77.0.7:5146
经济科教,http://59.38.62.183:2052/udp/239.77.0.8:5146
大湾区卫视,http://59.38.62.183:2052/udp/239.77.0.9:5146
大湾区卫视,http://59.38.62.183:2052/udp/239.77.1.12:5146
广东影视,http://59.38.62.183:2052/udp/239.77.0.11:5146
广东少儿,http://59.38.62.183:2052/udp/239.77.0.12:5146
嘉佳卡通,http://59.38.62.183:2052/udp/239.77.0.13:5146
嘉佳卡通,http://59.38.62.183:2052/udp/239.77.1.15:5146
岭南戏曲,http://59.38.62.183:2052/udp/239.77.0.16:5146
广东房产,http://59.38.62.183:2052/udp/239.77.0.14:5146
现代教育,http://59.38.62.183:2052/udp/239.77.0.18:5146
广东移动,http://59.38.62.183:2052/udp/239.77.0.20:5146
广东综艺,http://59.38.62.183:2052/udp/239.77.1.236:5146
广东综艺,http://59.38.62.183:2052/udp/239.77.1.237:5146
广东综艺4K,http://59.38.62.183:2052/udp/239.77.0.244:5146
广东综艺4k,http://59.38.62.183:2052/udp/239.77.0.246:5146
广东综艺4k,http://59.38.62.183:2052/udp/239.77.0.245:5146
广东综艺4k,http://59.38.62.183:2052/udp/239.77.0.252:5146
广州综合,http://59.38.62.183:2052/udp/239.253.43.66:5146
广州综合,http://59.38.62.183:2052/udp/239.253.43.71:5146
广州新闻,http://59.38.62.183:2052/udp/239.253.43.67:5146
广州新闻,http://59.38.62.183:2052/udp/239.253.43.72:5146
广州影视,http://59.38.62.183:2052/udp/239.253.43.68:5146
广州影视,http://59.38.62.183:2052/udp/239.253.43.73:5146
广州法治,http://59.38.62.183:2052/udp/239.253.43.69:5146
广州法治,http://59.38.62.183:2052/udp/239.253.43.74:5146
广州竞赛,http://59.38.62.183:2052/udp/239.253.43.70:5146
广州竞赛,http://59.38.62.183:2052/udp/239.253.43.75:5146
广视课堂 小学一,http://59.38.62.183:2052/udp/239.253.43.76:5146
广视课堂 小学二,http://59.38.62.183:2052/udp/239.253.43.77:5146
广视课堂 小学三,http://59.38.62.183:2052/udp/239.253.43.78:5146
广视课堂 小学四,http://59.38.62.183:2052/udp/239.253.43.79:5146
广视课堂 小学五,http://59.38.62.183:2052/udp/239.253.43.80:5146
广视课堂 小学六,http://59.38.62.183:2052/udp/239.253.43.81:5146
广视课堂 初一,http://59.38.62.183:2052/udp/239.253.43.89:5146
